Class ID,Module Code,Module Name,Student Group,Section,Professor ID,Day,Time Slot,Room ID,Campus,Student Count
GISMA-165,M601,Advanced Mathematics,M517A,B,F008,Wednesday,16:00-19:00,MacPool,POTSDAM,22
GISMA-166,M513,Research Seminar,M517A,A,F004,Monday,16:00-19:00,Room6,POTSDAM,22
GISMA-167,M513,Research Seminar,M517A,B,F004,Tuesday,09:00-12:00,Room2,POTSDAM,22
GISMA-168,M517,International Strategic Management,M517B,A,F005,Monday,16:00-19:00,Room11,POTSDAM,22
GISMA-169,M517,International Strategic Management,M517B,B,F005,Tuesday,09:00-12:00,Room6,POTSDAM,22
GISMA-170,M601,Advanced Mathematics,M517B,A,F008,Monday,09:00-12:00,Room3,POTSDAM,22
GISMA-171,M601,Advanced Mathematics,M517B,B,F008,Thursday,09:00-12:00,Room1,POTSDAM,22
GISMA-172,M513,Research Seminar,M517B,A,F004,Monday,13:00-16:00,Room6,POTSDAM,22
GISMA-173,M513,Research Seminar,M517B,B,F004,Tuesday,13:00-16:00,Room6,POTSDAM,22
GISMA-174,M517,International Strategic Management,M517C,A,F005,Tuesday,13:00-16:00,Room11,POTSDAM,22
GISMA-175,M517,International Strategic Management,M517C,B,F005,Tuesday,16:00-19:00,Room6,POTSDAM,22
GISMA-176,M601,Advanced Mathematics,M517C,A,F008,Thursday,13:00-16:00,Room1,POTSDAM,22
GISMA-177,M601,Advanced Mathematics,M517C,B,F008,Thursday,16:00-19:00,Room1,POTSDAM,22
GISMA-178,M513,Research Seminar,M517C,A,F004,Monday,09:00-12:00,Room6,POTSDAM,22
GISMA-179,M513,Research Seminar,M517C,B,F004,Wednesday,09:00-12:00,MacPool,POTSDAM,22
